<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.0992653,0.100484,0.0980668,0.0992653,99149603,0
AAPL.US,D,19840910,000000,0.0992653,0.0995698,0.0968786,0.098676,76956267,0
AAPL.US,D,19840911,000000,0.0995698,0.102271,0.0995698,0.100484,181467446,0
AAPL.US,D,19840912,000000,0.100484,0.101071,0.0974581,0.0974581,158527291,0
AAPL.US,D,19840913,000000,0.10288,0.103173,0.10288,0.10288,246900394,0
AAPL.US,D,19840914,000000,0.103173,0.10676,0.103173,0.104363,293981051,0
AAPL.US,D,19840917,000000,0.107073,0.108567,0.107073,0.107073,229535149,0
AAPL.US,D,19840918,000000,0.107073,0.107957,0.103173,0.103173,115874598,0
AAPL.US,D,19840919,000000,0.103173,0.104363,0.101071,0.101071,126571111,0
AAPL.US,D,19840920,000000,0.101368,0.102271,0.101368,0.101368,78796873,0
AAPL.US,D,19840921,000000,0.101368,0.104363,0.0992653,0.100484,118888762,0
AAPL.US,D,19840924,000000,0.100484,0.101071,0.0995698,0.0995698,94081449,0
AAPL.US,D,19840925,000000,0.0992653,0.0992653,0.0974581,0.0974581,198619295,0
AAPL.US,D,19840926,000000,0.0974581,0.101955,0.0962794,0.0962794,132146124,0
AAPL.US,D,19840927,000000,0.0962794,0.0968786,0.0962794,0.0962794,126144312,0
AAPL.US,D,19840928,000000,0.0962794,0.0962794,0.0920757,0.0938731,277949593,0
AAPL.US,D,19841001,000000,0.0935884,0.0935884,0.0917714,0.0917714,116434743,0
AAPL.US,D,19841002,000000,0.0923707,0.0956707,0.0923707,0.0923707,140815313,0
AAPL.US,D,19841003,000000,0.0938731,0.0953661,0.0938731,0.0938731,143402813,0
AAPL.US,D,19841004,000000,0.0950518,0.0956707,0.0950518,0.0950518,149431267,0
AAPL.US,D,19841005,000000,0.0950518,0.0950518,0.0923707,0.0929793,116194699,0
AAPL.US,D,19841008,000000,0.0929793,0.0935884,0.0929793,0.0929793,55936708,0
AAPL.US,D,19841009,000000,0.0929793,0.0935884,0.0920757,0.0920757,149164503,0
AAPL.US,D,19841010,000000,0.0920757,0.0920757,0.0893652,0.0893652,434476308,0
